name,developer,publisher,popular_tags,game_details,genre,ID,genre_publisher_developer,genre_popular_tags_developer,genre_popular_tags_game_details,genre_publisher_developer_game_details
Counter-Strike: Source,Valve,"Valve,Valve","Shooter,Action,FPS,Multiplayer,Team-Based,First-Person,Tactical,Competitive,PvP,e-sports,Military,War,Strategy,Moddable,Difficult,Singleplayer,Atmospheric,Survival,Simulation,Sandbox","Multi-player,Cross-PlatformMultiplayer,SteamAchievements,SteamCloud,ValveAnti-Cheatenabled,Stats,IncludesSourceSDK",Action,counterstrikesource,"ActionValve,ValveValve","ActionShooter,Action,FPS,Multiplayer,Team-Based,First-Person,Tactical,Competitive,PvP,e-sports,Military,War,Strategy,Moddable,Difficult,Singleplayer,Atmospheric,Survival,Simulation,SandboxValve","ActionShooter,Action,FPS,Multiplayer,Team-Based,First-Person,Tactical,Competitive,PvP,e-sports,Military,War,Strategy,Moddable,Difficult,Singleplayer,Atmospheric,Survival,Simulation,SandboxMulti-player,Cross-PlatformMultiplayer,SteamAchievements,SteamCloud,ValveAnti-Cheatenabled,Stats,IncludesSourceSDK","ActionValve,ValveValveMulti-player,Cross-PlatformMultiplayer,SteamAchievements,SteamCloud,ValveAnti-Cheatenabled,Stats,IncludesSourceSDK"
The Evil Within,TangoGameworks,"BethesdaSoftworks,BethesdaSoftworks","Horror,SurvivalHorror,PsychologicalHorror,Gore,Atmospheric,Action,Singleplayer,ThirdPerson,Survival,Zombies,Dark,Stealth,Adventure,Third-PersonShooter,Difficult,Cinematic,Shooter,StoryRich,Masterpiece,WalkingSimulator","Single-player,SteamAchievements,Fullcontrollersupport,SteamTradingCards,Captionsavailable,SteamCloud",Action,theevilwithin,"ActionBethesdaSoftworks,BethesdaSoftworksTangoGameworks","ActionHorror,SurvivalHorror,PsychologicalHorror,Gore,Atmospheric,Action,Singleplayer,ThirdPerson,Survival,Zombies,Dark,Stealth,Adventure,Third-PersonShooter,Difficult,Cinematic,Shooter,StoryRich,Masterpiece,WalkingSimulatorTangoGameworks","ActionHorror,SurvivalHorror,PsychologicalHorror,Gore,Atmospheric,Action,Singleplayer,ThirdPerson,Survival,Zombies,Dark,Stealth,Adventure,Third-PersonShooter,Difficult,Cinematic,Shooter,StoryRich,Masterpiece,WalkingSimulatorSingle-player,SteamAchievements,Fullcontrollersupport,SteamTradingCards,Captionsavailable,SteamCloud","ActionBethesdaSoftworks,BethesdaSoftworksTangoGameworksSingle-player,SteamAchievements,Fullcontrollersupport,SteamTradingCards,Captionsavailable,SteamCloud"
RUNNING WITH RIFLES,OsumiaGames,"OsumiaGames,OsumiaGames","Action,Tactical,Shooter,Top-Down,Multiplayer,Co-op,War,OpenWorld,Military,Indie,Strategy,Singleplayer,Sandbox,RPG,RTS,Simulation,MassivelyMultiplayer,Survival,Isometric,Adventure","Single-player,Multi-player,OnlineMulti-Player,Co-op,OnlineCo-op,Cross-PlatformMultiplayer,SteamAchievements,SteamTradingCards,SteamWorkshop","Action,Indie",runningwithrifles,"Action,IndieOsumiaGames,OsumiaGamesOsumiaGames","Action,IndieAction,Tactical,Shooter,Top-Down,Multiplayer,Co-op,War,OpenWorld,Military,Indie,Strategy,Singleplayer,Sandbox,RPG,RTS,Simulation,MassivelyMultiplayer,Survival,Isometric,AdventureOsumiaGames","Action,IndieAction,Tactical,Shooter,Top-Down,Multiplayer,Co-op,War,OpenWorld,Military,Indie,Strategy,Singleplayer,Sandbox,RPG,RTS,Simulation,MassivelyMultiplayer,Survival,Isometric,AdventureSingle-player,Multi-player,OnlineMulti-Player,Co-op,OnlineCo-op,Cross-PlatformMultiplayer,SteamAchievements,SteamTradingCards,SteamWorkshop","Action,IndieOsumiaGames,OsumiaGamesOsumiaGamesSingle-player,Multi-player,OnlineMulti-Player,Co-op,OnlineCo-op,Cross-PlatformMultiplayer,SteamAchievements,SteamTradingCards,SteamWorkshop"
The Lord of the Rings Online™,"StandingStoneGames,LLC","StandingStoneGames,LLC,StandingStoneGames,LLC","FreetoPlay,MMORPG,MassivelyMultiplayer,Fantasy,RPG,OpenWorld,Adventure,Multiplayer,BasedOnANovel,Action,Exploration,CharacterCustomization,StoryRich,Co-op,OnlineCo-Op,ThirdPerson,Survival,PvP,Singleplayer,DarkFantasy",MMO,"FreetoPlay,MassivelyMultiplayer,RPG",thelordoftheringsonline,"FreetoPlay,MassivelyMultiplayer,RPGStandingStoneGames,LLC,StandingStoneGames,LLCStandingStoneGames,LLC","FreetoPlay,MassivelyMultiplayer,RPGFreetoPlay,MMORPG,MassivelyMultiplayer,Fantasy,RPG,OpenWorld,Adventure,Multiplayer,BasedOnANovel,Action,Exploration,CharacterCustomization,StoryRich,Co-op,OnlineCo-Op,ThirdPerson,Survival,PvP,Singleplayer,DarkFantasyStandingStoneGames,LLC","FreetoPlay,MassivelyMultiplayer,RPGFreetoPlay,MMORPG,MassivelyMultiplayer,Fantasy,RPG,OpenWorld,Adventure,Multiplayer,BasedOnANovel,Action,Exploration,CharacterCustomization,StoryRich,Co-op,OnlineCo-Op,ThirdPerson,Survival,PvP,Singleplayer,DarkFantasyMMO","FreetoPlay,MassivelyMultiplayer,RPGStandingStoneGames,LLC,StandingStoneGames,LLCStandingStoneGames,LLCMMO"
Pillars of Eternity,ObsidianEntertainment,"ParadoxInteractive,ParadoxInteractive","RPG,Fantasy,Isometric,StoryRich,Singleplayer,CRPG,Party-BasedRPG,Real-TimewithPause,Adventure,Kickstarter,Atmospheric,DarkFantasy,OpenWorld,Exploration,CharacterCustomization,Classic,Strategy,GreatSoundtrack,Indie,Crowdfunded","Single-player,SteamAchievements,SteamTradingCards,SteamCloud,Commentaryavailable",RPG,pillarsofeternity,"RPGParadoxInteractive,ParadoxInteractiveObsidianEntertainment","RPGRPG,Fantasy,Isometric,StoryRich,Singleplayer,CRPG,Party-BasedRPG,Real-TimewithPause,Adventure,Kickstarter,Atmospheric,DarkFantasy,OpenWorld,Exploration,CharacterCustomization,Classic,Strategy,GreatSoundtrack,Indie,CrowdfundedObsidianEntertainment","RPGRPG,Fantasy,Isometric,StoryRich,Singleplayer,CRPG,Party-BasedRPG,Real-TimewithPause,Adventure,Kickstarter,Atmospheric,DarkFantasy,OpenWorld,Exploration,CharacterCustomization,Classic,Strategy,GreatSoundtrack,Indie,CrowdfundedSingle-player,SteamAchievements,SteamTradingCards,SteamCloud,Commentaryavailable","RPGParadoxInteractive,ParadoxInteractiveObsidianEntertainmentSingle-player,SteamAchievements,SteamTradingCards,SteamCloud,Commentaryavailable"
Gang Beasts,Boneloaf,"DoubleFinePresents,DoubleFinePresents","Funny,Multiplayer,Fighting,LocalMultiplayer,Comedy,Physics,Action,Beat'emup,Co-op,4PlayerLocal,Colorful,ThirdPerson,EarlyAccess,Indie,Casual,Singleplayer,Adventure,GreatSoundtrack,Sandbox,Simulation","Multi-player,OnlineMulti-Player,LocalMulti-Player,Shared/SplitScreen,SteamAchievements,Fullcontrollersupport","Action,Adventure,Casual,Indie",gangbeasts,"Action,Adventure,Casual,IndieDoubleFinePresents,DoubleFinePresentsBoneloaf","Action,Adventure,Casual,IndieFunny,Multiplayer,Fighting,LocalMultiplayer,Comedy,Physics,Action,Beat'emup,Co-op,4PlayerLocal,Colorful,ThirdPerson,EarlyAccess,Indie,Casual,Singleplayer,Adventure,GreatSoundtrack,Sandbox,SimulationBoneloaf","Action,Adventure,Casual,IndieFunny,Multiplayer,Fighting,LocalMultiplayer,Comedy,Physics,Action,Beat'emup,Co-op,4PlayerLocal,Colorful,ThirdPerson,EarlyAccess,Indie,Casual,Singleplayer,Adventure,GreatSoundtrack,Sandbox,SimulationMulti-player,OnlineMulti-Player,LocalMulti-Player,Shared/SplitScreen,SteamAchievements,Fullcontrollersupport","Action,Adventure,Casual,IndieDoubleFinePresents,DoubleFinePresentsBoneloafMulti-player,OnlineMulti-Player,LocalMulti-Player,Shared/SplitScreen,SteamAchievements,Fullcontrollersupport"
Castle Crashers®,TheBehemoth,"TheBehemoth,TheBehemoth","Co-op,Action,Multiplayer,Adventure,LocalCo-Op,Funny,Beat'emup,OnlineCo-Op,Indie,Comedy,HackandSlash,2D,RPG,LocalMultiplayer,Controller,Casual,GreatSoundtrack,Fantasy,SideScroller,ActionRPG","Single-player,Multi-player,OnlineMulti-Player,LocalMulti-Player,Co-op,OnlineCo-op,LocalCo-op,Shared/SplitScreen,Cross-PlatformMultiplayer,SteamAchievements,Fullcontrollersupport,SteamTradingCards,SteamCloud,SteamLeaderboards","Action,Adventure,Casual,Indie,RPG",castlecrashers,"Action,Adventure,Casual,Indie,RPGTheBehemoth,TheBehemothTheBehemoth","Action,Adventure,Casual,Indie,RPGCo-op,Action,Multiplayer,Adventure,LocalCo-Op,Funny,Beat'emup,OnlineCo-Op,Indie,Comedy,HackandSlash,2D,RPG,LocalMultiplayer,Controller,Casual,GreatSoundtrack,Fantasy,SideScroller,ActionRPGTheBehemoth","Action,Adventure,Casual,Indie,RPGCo-op,Action,Multiplayer,Adventure,LocalCo-Op,Funny,Beat'emup,OnlineCo-Op,Indie,Comedy,HackandSlash,2D,RPG,LocalMultiplayer,Controller,Casual,GreatSoundtrack,Fantasy,SideScroller,ActionRPGSingle-player,Multi-player,OnlineMulti-Player,LocalMulti-Player,Co-op,OnlineCo-op,LocalCo-op,Shared/SplitScreen,Cross-PlatformMultiplayer,SteamAchievements,Fullcontrollersupport,SteamTradingCards,SteamCloud,SteamLeaderboards","Action,Adventure,Casual,Indie,RPGTheBehemoth,TheBehemothTheBehemothSingle-player,Multi-player,OnlineMulti-Player,LocalMulti-Player,Co-op,OnlineCo-op,LocalCo-op,Shared/SplitScreen,Cross-PlatformMultiplayer,SteamAchievements,Fullcontrollersupport,SteamTradingCards,SteamCloud,SteamLeaderboards"
Keep Talking and Nobody Explodes,SteelCrateGames,"SteelCrateGames,SteelCrateGames","Co-op,Puzzle,LocalCo-Op,VR,Multiplayer,Indie,Difficult,LocalMultiplayer,Team-Based,FamilyFriendly,First-Person,Fast-Paced,Funny,Simulation,Action,Atmospheric,Strategy,AsymmetricVR,PsychologicalHorror,GreatSoundtrack","LocalMulti-Player,Co-op,LocalCo-op,SteamAchievements,Fullcontrollersupport,SteamWorkshop,Stats,SteamLeaderboards",Indie,keeptalkingandnobodyexplodes,"IndieSteelCrateGames,SteelCrateGamesSteelCrateGames","IndieCo-op,Puzzle,LocalCo-Op,VR,Multiplayer,Indie,Difficult,LocalMultiplayer,Team-Based,FamilyFriendly,First-Person,Fast-Paced,Funny,Simulation,Action,Atmospheric,Strategy,AsymmetricVR,PsychologicalHorror,GreatSoundtrackSteelCrateGames","IndieCo-op,Puzzle,LocalCo-Op,VR,Multiplayer,Indie,Difficult,LocalMultiplayer,Team-Based,FamilyFriendly,First-Person,Fast-Paced,Funny,Simulation,Action,Atmospheric,Strategy,AsymmetricVR,PsychologicalHorror,GreatSoundtrackLocalMulti-Player,Co-op,LocalCo-op,SteamAchievements,Fullcontrollersupport,SteamWorkshop,Stats,SteamLeaderboards","IndieSteelCrateGames,SteelCrateGamesSteelCrateGamesLocalMulti-Player,Co-op,LocalCo-op,SteamAchievements,Fullcontrollersupport,SteamWorkshop,Stats,SteamLeaderboards"
SPORE™,Maxis™,"ElectronicArts,ElectronicArts","Simulation,Sandbox,OpenWorld,Exploration,Space,Adventure,GodGame,Singleplayer,Aliens,Strategy,Sci-fi,Funny,Science,FamilyFriendly,Multiplayer,Action,RPG,Casual,Comedy,RTS",Single-player,Simulation,spore,"SimulationElectronicArts,ElectronicArtsMaxis™","SimulationSimulation,Sandbox,OpenWorld,Exploration,Space,Adventure,GodGame,Singleplayer,Aliens,Strategy,Sci-fi,Funny,Science,FamilyFriendly,Multiplayer,Action,RPG,Casual,Comedy,RTSMaxis™","SimulationSimulation,Sandbox,OpenWorld,Exploration,Space,Adventure,GodGame,Singleplayer,Aliens,Strategy,Sci-fi,Funny,Science,FamilyFriendly,Multiplayer,Action,RPG,Casual,Comedy,RTSSingle-player","SimulationElectronicArts,ElectronicArtsMaxis™Single-player"
Fishing Planet,FishingPlanetLLC,"FishingPlanetLLC,FishingPlanetLLC","Fishing,FreetoPlay,Simulation,Multiplayer,Sports,Relaxing,Realistic,MassivelyMultiplayer,First-Person,Co-op,EarlyAccess,OpenWorld,Singleplayer,OnlineCo-Op,FamilyFriendly,Casual,Adventure,FPS,Action,MMORPG","Single-player,Multi-player,OnlineMulti-Player,MMO,Co-op,OnlineCo-op,Fullcontrollersupport","FreetoPlay,MassivelyMultiplayer,Simulation,Sports",fishingplanet,"FreetoPlay,MassivelyMultiplayer,Simulation,SportsFishingPlanetLLC,FishingPlanetLLCFishingPlanetLLC","FreetoPlay,MassivelyMultiplayer,Simulation,SportsFishing,FreetoPlay,Simulation,Multiplayer,Sports,Relaxing,Realistic,MassivelyMultiplayer,First-Person,Co-op,EarlyAccess,OpenWorld,Singleplayer,OnlineCo-Op,FamilyFriendly,Casual,Adventure,FPS,Action,MMORPGFishingPlanetLLC","FreetoPlay,MassivelyMultiplayer,Simulation,SportsFishing,FreetoPlay,Simulation,Multiplayer,Sports,Relaxing,Realistic,MassivelyMultiplayer,First-Person,Co-op,EarlyAccess,OpenWorld,Singleplayer,OnlineCo-Op,FamilyFriendly,Casual,Adventure,FPS,Action,MMORPGSingle-player,Multi-player,OnlineMulti-Player,MMO,Co-op,OnlineCo-op,Fullcontrollersupport","FreetoPlay,MassivelyMultiplayer,Simulation,SportsFishingPlanetLLC,FishingPlanetLLCFishingPlanetLLCSingle-player,Multi-player,OnlineMulti-Player,MMO,Co-op,OnlineCo-op,Fullcontrollersupport"
